person_age,age_band,person_income,income_band,person_home_ownership,person_emp_length,employment_category,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,loan_to_income_pct,cb_person_default_on_file,cb_person_cred_hist_length,exposure_at_default,loss_given_default
23,Young_Adult,34800,Medium_Income,RENT,7,Mid_Employee,EDUCATION,A,2500,6.39,0,0.07,7.18,N,2,2500,0.60
26,Adult,50000,Medium_Income,OWN,6,Mid_Employee,EDUCATION,B,3000,9.91,0,0.06,6.00,N,2,3000,0.60
26,Adult,90000,High_Income,RENT,8,Mid_Employee,PERSONAL,C,7000,13.49,0,0.08,7.78,Y,3,7000,0.60
25,Adult,60000,Medium_Income,OWN,0,New_Employee,VENTURE,B,9000,9.91,0,0.15,15.00,N,3,9000,0.60
25,Adult,15600,Low_Income,RENT,6,Mid_Employee,MEDICAL,B,5000,10.75,1,0.32,32.05,N,3,5000,0.60
25,Adult,60000,Medium_Income,RENT,9,Mid_Employee,MEDICAL,C,8400,13.99,0,0.14,14.00,Y,3,8400,0.60
26,Adult,36000,Medium_Income,RENT,5,Junior_Employee,MEDICAL,B,8550,10.25,1,0.24,23.75,N,2,8550,0.60
26,Adult,75873,High_Income,MORTGAGE,6,Mid_Employee,PERSONAL,B,1200,10.25,0,0.02,1.58,N,2,1200,0.60
23,Young_Adult,91000,High_Income,RENT,2,New_Employee,EDUCATION,C,16000,14.22,0,0.18,17.58,Y,3,16000,0.60
25,Adult,78600,High_Income,RENT,0,New_Employee,MEDICAL,C,8400,13.48,0,0.11,10.69,N,4,8400,0.60
25,Adult,29000,Low_Income,RENT,2,New_Employee,MEDICAL,C,2500,12.84,1,0.09,8.62,Y,4,2500,0.60
31,Adult,57006,Medium_Income,RENT,7,Mid_Employee,VENTURE,A,6000,7.29,0,0.11,10.53,N,10,6000,0.60
29,Adult,70000,Medium_Income,RENT,6,Mid_Employee,EDUCATION,A,7000,7.74,0,0.1,10.00,N,6,7000,0.60
27,Adult,85000,High_Income,OWN,6,Mid_Employee,VENTURE,A,20000,7.88,0,0.24,23.53,N,6,20000,0.60
30,Adult,73000,High_Income,RENT,4,Junior_Employee,VENTURE,C,12000,14.26,1,0.16,16.44,Y,5,12000,0.60
27,Adult,30000,Medium_Income,OWN,6,Mid_Employee,EDUCATION,D,1800,14.84,0,0.06,6.00,Y,5,1800,0.60
29,Adult,42500,Medium_Income,RENT,9,Mid_Employee,VENTURE,A,15000,7.88,1,0.35,35.29,N,7,15000,0.60
38,Adult,25000,Low_Income,RENT,1,New_Employee,EDUCATION,A,1000,8,0,0.04,4.00,N,16,1000,0.60
37,Adult,37500,Medium_Income,RENT,0,New_Employee,PERSONAL,A,6750,6.91,0,0.18,18.00,N,16,6750,0.60
36,Adult,30000,Medium_Income,RENT,0,New_Employee,EDUCATION,B,9000,12.18,0,0.3,30.00,N,17,9000,0.60
45,Middle_Age,26000,Low_Income,RENT,17,Senior_Employee,MEDICAL,A,10000,8.49,1,0.38,38.46,N,13,10000,0.60
22,Young_Adult,18000,Low_Income,RENT,1,New_Employee,MEDICAL,B,6000,11,1,0.33,33.33,N,3,6000,0.60
25,Adult,43200,Medium_Income,RENT,4,Junior_Employee,VENTURE,B,1200,9.91,0,0.03,2.78,N,4,1200,0.60
25,Adult,25000,Low_Income,OWN,4,Junior_Employee,EDUCATION,A,8500,6.03,0,0.34,34.00,N,2,8500,0.60
26,Adult,65000,Medium_Income,RENT,3,Junior_Employee,MEDICAL,A,2000,7.51,0,0.03,3.08,N,2,2000,0.60
