person_age,age_band,person_income,income_band,person_home_ownership,person_emp_length,employment_category,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,loan_to_income_pct,cb_person_default_on_file,cb_person_cred_hist_length,exposure_at_default,loss_given_default,AI_Predicted_PD,Expected_Loss
23,Young_Adult,34800,Medium_Income,RENT,7,Mid_Employee,EDUCATION,A,2500,6.39,0,0.07,7.18,N,2,2500,0.6,0.060652923,90.97938425838947
26,Adult,50000,Medium_Income,OWN,6,Mid_Employee,EDUCATION,B,3000,9.91,0,0.06,6.0,N,2,3000,0.6,0.00041702288,0.7506411813665181
26,Adult,90000,High_Income,RENT,8,Mid_Employee,PERSONAL,C,7000,13.49,0,0.08,7.78,Y,3,7000,0.6,0.034049913,143.00963580608368
25,Adult,60000,Medium_Income,OWN,0,New_Employee,VENTURE,B,9000,9.91,0,0.15,15.0,N,3,9000,0.6,4.6028304e-06,0.024855283936631167
25,Adult,15600,Low_Income,RENT,6,Mid_Employee,MEDICAL,B,5000,10.75,1,0.32,32.05,N,3,5000,0.6,0.99967897,2999.0369081497192
25,Adult,60000,Medium_Income,RENT,9,Mid_Employee,MEDICAL,C,8400,13.99,0,0.14,14.0,Y,3,8400,0.6,0.13403694,675.5461943149567
26,Adult,36000,Medium_Income,RENT,5,Junior_Employee,MEDICAL,B,8550,10.25,1,0.24,23.75,N,2,8550,0.6,0.2256895,1157.7871379256248
26,Adult,75873,High_Income,MORTGAGE,6,Mid_Employee,PERSONAL,B,1200,10.25,0,0.02,1.58,N,2,1200,0.6,0.01626934,11.713924258947372
23,Young_Adult,91000,High_Income,RENT,2,New_Employee,EDUCATION,C,16000,14.22,0,0.18,17.58,Y,3,16000,0.6,0.021238163,203.88636589050293
25,Adult,78600,High_Income,RENT,0,New_Employee,MEDICAL,C,8400,13.48,0,0.11,10.69,N,4,8400,0.6,0.183856,926.6342175006866
25,Adult,29000,Low_Income,RENT,2,New_Employee,MEDICAL,C,2500,12.84,1,0.09,8.62,Y,4,2500,0.6,0.7943609,1191.541314125061
31,Adult,57006,Medium_Income,RENT,7,Mid_Employee,VENTURE,A,6000,7.29,0,0.11,10.53,N,10,6000,0.6,0.0008813386,3.1728189904242754
